playerNo,playerName,category,team
1,RUTURAJ GAIKWAD,BATTER,CSK
2,ANDRE SIDDARTH C,BATTER,CSK
3,SHAIK RASHEED,BATTER,CSK
4,RAHUL TRIPATHI,BATTER,CSK
5,SHIVAM DUBE,ALL ROUNDER,CSK
6,RACHIN RAVINDRA,ALL ROUNDER,CSK
7,DEEPAK HOODA,ALL ROUNDER,CSK
8,VIJAY SHANKAR,ALL ROUNDER,CSK
9,RAMAKRISHNA GHOSH,ALL ROUNDER,CSK
10,RAVINDRA JADEJA,ALL ROUNDER,CSK
11,ANSHUL KAMBOJ,ALL ROUNDER,CSK
12,SAM CURRAN,ALL ROUNDER,CSK
13,RAVICHANDRAN ASHWIN,ALL ROUNDER,CSK
14,DEVON CONWAY,WICKET KEEPER,CSK
15,MS DHONI,WICKET KEEPER,CSK
16,VANSH BEDI,WICKET KEEPER,CSK
17,JAMIE OVERTON,BOWLER,CSK
18,KAMLESH NAGARKOTI,BOWLER,CSK
19,SHREYAS GOPAL,BOWLER,CSK
20,MATHEESHA PATHIRANA,BOWLER,CSK
21,MUKESH CHOUDHARY,BOWLER,CSK
22,NATHAN ELLIS,BOWLER,CSK
23,GURJAPNEET SINGH,BOWLER,CSK
24,NOOR AHMAD,BOWLER,CSK
25,KHALEEL AHMED,BOWLER,CSK
26,VAIBHAV SURYAVANSHI,BATTER,RR
27,SHIMRON HETMYER,BATTER,RR
28,YASHASVI JAISWAL,BATTER,RR
29,SHUBHAM DUBEY,BATTER,RR
30,NITISH RANA,BATTER,RR
31,RIYAN PARAG,ALL ROUNDER,RR
32,YUDHVIR SINGH CHARAK,ALL ROUNDER,RR
33,WANINDU HASARANGA,ALL ROUNDER,RR
34,SANJU SAMSON,WICKET KEEPER,RR
35,DHRUV JUREL,WICKET KEEPER,RR
36,KUNAL SINGH RATHORE,WICKET KEEPER,RR
37,SANDEEP SHARMA,BOWLER,RR
38,TUSHAR DESHPANDE,BOWLER,RR
39,KUMAR KARTIKEYA,BOWLER,RR
40,AKASH MADHWAL,BOWLER,RR
41,KWENA MAPHAKA,BOWLER,RR
42,MAHEESH THEEKSHANA,BOWLER,RR
43,FAZALHAQ FAROOQI,BOWLER,RR
44,ASHOK SHARMA,BOWLER,RR
45,JOFRA ARCHER,BOWLER,RR
46,MANISH PANDEY,BATTER,KKR
47,AJINKYA RAHANE,BATTER,KKR
48,RINKU SINGH,BATTER,KKR
49,ANGKRISH RAGHUVANSHI,BATTER,KKR
50,ROVMAN POWELL,BATTER,KKR
51,ANUKUL ROY,ALL ROUNDER,KKR
52,RAMANDEEP SINGH,ALL ROUNDER,KKR
53,VENKATESH IYER,ALL ROUNDER,KKR
54,MOEEN ALI,ALL ROUNDER,KKR
55,SUNIL NARINE,ALL ROUNDER,KKR
56,ANDRE RUSSELL,ALL ROUNDER,KKR
57,QUINTON DE KOCK,WICKET KEEPER,KKR
58,RAHMANULLAH GURBAZ,WICKET KEEPER,KKR
59,LUVNITH SISODIA,WICKET KEEPER,KKR
60,VARUN CHAKARAVARTHY,BOWLER,KKR
61,MAYANK MARKANDE,BOWLER,KKR
62,VAIBHAV ARORA,BOWLER,KKR
63,HARSHIT RANA,BOWLER,KKR
64,ANRICH NORTJE,BOWLER,KKR
65,UMRAN MALIK,BOWLER,KKR
66,SPENCER JOHNSON,BOWLER,KKR
67,ATHARV TAIDE,BATTER,SRH
68,TRAVIS HEAD,BATTER,SRH
69,ABHINAV MANOHAR,BATTER,SRH
70,SACHIN BABY,BATTER,SRH
71,ANIKET VERMA,BATTER,SRH
72,NITISH KUMAR REDDY,ALL ROUNDER,SRH
73,ABHISHEK SHARMA,ALL ROUNDER,SRH
74,KAMINDU MENDIS,ALL ROUNDER,SRH
75,WIAAN MULDER,ALL ROUNDER,SRH
76,HEINRICH KLAASEN,WICKET KEEPER,SRH
77,ISHAN KISHAN,WICKET KEEPER,SRH
78,ZEESHAN ANSARI,BOWLER,SRH
79,PAT CUMMINS,BOWLER,SRH
80,MOHAMMED SHAMI,BOWLER,SRH
81,HARSHAL PATEL,BOWLER,SRH
82,RAHUL CHAHAR,BOWLER,SRH
83,SIMARJEET SINGH,BOWLER,SRH
