matchNo,dateTime,home,away
1,2025-03-22 19:30:00,KKR,RCB
2,2025-03-23 15:30:00,SRH,RR
3,2025-03-23 19:30:00,CSK,MI
4,2025-03-24 19:30:00,DC,LSG
5,2025-03-25 19:30:00,GT,PBKS
6,2025-03-26 19:30:00,RR,KKR
7,2025-03-27 19:30:00,SRH,LSG
8,2025-03-28 19:30:00,CSK,RCB
9,2025-03-29 19:30:00,GT,MI
10,2025-03-30 15:30:00,DC,SRH
11,2025-03-30 19:30:00,RR,CSK
12,2025-03-31 19:30:00,MI,KKR
13,2025-04-01 19:30:00,LSG,PBKS
14,2025-04-02 19:30:00,RCB,GT
15,2025-04-03 19:30:00,KKR,SRH
16,2025-04-04 19:30:00,LSG,MI
17,2025-04-05 15:30:00,CSK,DC
18,2025-04-05 19:30:00,PBKS,RR
20,2025-04-06 19:30:00,SRH,GT
21,2025-04-07 19:30:00,MI,RCB
19,2025-04-08 15:30:00,KKR,LSG
22,2025-04-08 19:30:00,PBKS,CSK
23,2025-04-09 19:30:00,GT,RR
24,2025-04-10 19:30:00,RCB,DC
25,2025-04-11 19:30:00,CSK,KKR
26,2025-04-12 15:30:00,LSG,GT
27,2025-04-12 19:30:00,SRH,PBKS
28,2025-04-13 15:30:00,RR,RCB
29,2025-04-13 19:30:00,DC,MI
30,2025-04-14 19:30:00,LSG,CSK
31,2025-04-15 19:30:00,PBKS,KKR
32,2025-04-16 19:30:00,DC,RR
33,2025-04-17 19:30:00,MI,SRH
34,2025-04-18 19:30:00,RCB,PBKS
35,2025-04-19 15:30:00,GT,DC
36,2025-04-19 19:30:00,RR,LSG
37,2025-04-20 15:30:00,PBKS,RCB
38,2025-04-20 19:30:00,MI,CSK
39,2025-04-21 19:30:00,KKR,GT
40,2025-04-22 19:30:00,LSG,DC
41,2025-04-23 19:30:00,SRH,MI
42,2025-04-24 19:30:00,RCB,RR
43,2025-04-25 19:30:00,CSK,SRH
44,2025-04-26 19:30:00,KKR,PBKS
45,2025-04-27 15:30:00,MI,LSG
46,2025-04-27 19:30:00,DC,RCB
47,2025-04-28 19:30:00,RR,GT
48,2025-04-29 19:30:00,DC,KKR
49,2025-04-30 19:30:00,CSK,PBKS
50,2025-05-01 19:30:00,RR,MI
51,2025-05-02 19:30:00,GT,SRH
52,2025-05-03 19:30:00,RCB,CSK
53,2025-05-04 15:30:00,KKR,RR
54,2025-05-04 19:30:00,PBKS,LSG
55,2025-05-05 19:30:00,SRH,DC
56,2025-05-06 19:30:00,MI,GT
57,2025-05-07 19:30:00,KKR,CSK
58,2025-05-17 19:30:00,RCB,KKR
59,2025-05-18 15:30:00,RR,PBKS
60,2025-05-18 19:30:00,DC,GT
61,2025-05-19 19:30:00,LSG,SRH
62,2025-05-20 19:30:00,CSK,RR
63,2025-05-21 19:30:00,MI,DC
64,2025-05-22 19:30:00,GT,LSG
65,2025-05-23 19:30:00,RCB,SRH
66,2025-05-24 19:30:00,PBKS,DC
67,2025-05-25 15:30:00,GT,CSK
68,2025-05-25 19:30:00,SRH,KKR
69,2025-05-26 19:30:00,PBKS,MI
70,2025-05-27 19:30:00,LSG,RCB
71,2025-05-29 19:30:00,PBKS,RCB
72,2025-05-30 19:30:00,GT,MI
73,2025-06-01 19:30:00,PBKS,MI
74,2025-06-03 19:30:00,RCB,TBC
